PART NUMBER,SERIAL NUMBER,DESCRIPTION,QTY
661-14098,DKH5326F0V604FPAH,Display iPhone 11,1
661-22293,DN85236ASNQQ1NMDC,SVCREAR CAMERAIPHONE 13 PRO AND 13 PRO MAX,1
661-14098,DKH5443F09K04FPAS,Display iPhone 11,1
661-21988,GVH53820E07PR5PAT,sVCDISPLAYIPHONE 13,1
661-22293,DN84196FSL5Q1NMD8,SVCREAR CAMERAIPHONE 13 PRO AND 13 PRO MAX,1
661-21993,G9P5264LJ48PQCKAT,sVCDISPLAYIPHONE 13 PRO,1
661-21988,G9P5381C32WPR5QAT,sVCDISPLAYIPHONE 13,1
661-22293,DN84203FA6YQ1NMD0,SVCREAR CAMERAIPHONE 13 PRO AND 13 PRO MAX,1
661-22311,G9Q5305B3HKPRRDA0,sVCDISPLAYIPHONE 13 MINI,1
661-21991,F9Y5507C8RZ18FKBG,SVCBattery iPhone 13,1
661-22294,F8Y5501C28N13XCBL,SVCBATTERYIPHONE 13 PRO MAX,1
661-22374,F8Y5426C0C014WCZ,SVCBattery iPhone 13 mini,1
661-17939,F8Y5402C5DC02JNBB,Battery iPhone 12 mini,1
661-22374,F8Y5473C68U14LWCZ,SVCBattery iPhone 13 mini,1
661-21993,G9P5164L1J3PQCKA8,sVCDISPLAYIPHONE 13 PRO,1
661-21996,F8Y5516C8NS13RHC4,SVCBattery iPhone 13 PRO,1
661-35885,F8YHN0C178000006TW,BATTERY IPHONE 15,1
661-21988,G9Q5177FJPXPR5QA5,sVCDISPLAYIPHONE 13,1
661-21993,G9P5163L6QDPQCKAA,sVCDISPLAYIPHONE 13 PRO,1
661-21993,G9P5162LGD6PQCKA7,sVCDISPLAYIPHONE 13 PRO,1
661-21996,F8Y5516CJVE13RHCK,SVCBattery iPhone 13 PRO,1
923-06235,DTV132511TV08036P,SVCSPEAKERIPHONE 13,1
661-21991,F8Y6057CHM018FKB5,SVCBattery iPhone 13,1
661-22309,G9Q5127XGHA1502A0,sVCDISPLAYIPHONE 13 PRO MAX,1
661-56125,G9PHPUD2BC90000L4B,Display iPhone 17 Pro,1
661-21988,G9Q5176C27CPR5QAW,sVCDISPLAYIPHONE 13,1
661-21993,G9P5114L3LSPQCKAS,sVCDISPLAYIPHONE 13 PRO,1
661-22374,F8Y6103CD1414LWCQ,SVCBattery iPhone 13 mini,1
661-30397,F8Y6042C2TT20J9BP,BATTERY IPHONE 14 PRO MAX,1
661-35885,F8YHRDC09X800006TW,BATTERY IPHONE 15,1
661-21991,F8Y6054C9L918FKBA,SVCBattery iPhone 13,1
661-30366,G9Q5173ENN51502AQ,DISPLAY IPHONE 14,1
661-30382,F8Y6117C5NF217WBT,BATTERY IPHONE 14 PRO,1
661-30382,F8Y6122C161217WBT,BATTERY IPHONE 14 PRO,1
661-22309,G9P4443MCN2PQCLAP,sVCDISPLAYIPHONE 13 PRO MAX,1
661-21988,GVH51810918PR5PAX,sVCDISPLAYIPHONE 13,1
